id;text;locale_key;group;link;external_link;target;icon;disabled;hide;hide_in_breadcrumb;shortcut;shortcut_root;reuse;code;description;type;order;api_permission_codes;parent_id;component_file;redirect
253;查看任务配置;;false;;;SELF;;false;true;false;false;false;false;taskjob:taskJobConfig:detail;;BUTTON;1;;250;;
254;删除任务配置;;false;;;SELF;;false;true;false;false;false;false;taskjob:taskJobConfig:delete;;BUTTON;1;;250;;
255;导入任务配置;;false;;;SELF;;false;true;false;false;false;false;taskjob:taskJobConfig:import;;BUTTON;1;;250;;
256;导出任务配置;;false;;;SELF;;false;true;false;false;false;false;taskjob:taskJobConfig:export;;BUTTON;1;;250;;
257;打印任务配置;;false;;;SELF;;false;true;false;false;false;false;taskjob:taskJobConfig:print;;BUTTON;1;;250;;
258;列配置任务配置;;false;;;SELF;;false;true;false;false;false;false;taskjob:taskJobConfig:customColumn;;BUTTON;1;;250;;
259;编辑任务配置;;false;/taskjob/task-job-config/:entityId/edit;;SELF;;false;true;false;false;false;false;taskjobTaskJobConfigEdit;;MENU;1;;249;taskjob/task-job-config/task-job-config-edit;
260;新建任务配置;;false;/taskjob/task-job-config/new;;SELF;;false;true;false;false;false;false;taskjobTaskJobConfigNew;;MENU;1;;249;taskjob/task-job-config/task-job-config-edit;
261;查看任务配置;;false;/taskjob/task-job-config/:entityId/detail;;SELF;;false;true;false;false;false;false;taskjobTaskJobConfigDetail;;MENU;1;;249;taskjob/task-job-config/task-job-config-detail;
262;日志管理;;false;/log;;SELF;ant-design:profile-outlined;false;false;false;false;false;false;log;;MENU;1;;;LAYOUT;
263;系统日志;;false;/log/sys-log;;SELF;;false;false;false;false;false;false;logSysLogList;;MENU;1;;262;log/sys-log/sys-log-list;
264;新建系统日志;;false;;;SELF;;false;true;false;false;false;false;log:sysLog:new;;BUTTON;1;;263;;
265;编辑系统日志;;false;;;SELF;;false;true;false;false;false;false;log:sysLog:edit;;BUTTON;1;;263;;
266;查看系统日志;;false;;;SELF;;false;true;false;false;false;false;log:sysLog:detail;;BUTTON;1;;263;;
267;删除系统日志;;false;;;SELF;;false;true;false;false;false;false;log:sysLog:delete;;BUTTON;1;;263;;
268;导入系统日志;;false;;;SELF;;false;true;false;false;false;false;log:sysLog:import;;BUTTON;1;;263;;
